datetime,venueId,total,dwell,Sensor Name,Sensor Type,Lat Long,avg_dwell,Latitude,Longitude,date,time,hour
2022-12-16 21:00:00+11:00,7780,422,107188,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",4.0,-37.8025805,144.9656012,2022-12-16,21:00:00,21
2022-12-23 14:00:00+11:00,7780,351,170937,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",8.0,-37.8025805,144.9656012,2022-12-23,14:00:00,14
2022-12-23 21:00:00+11:00,7780,504,193032,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",6.0,-37.8025805,144.9656012,2022-12-23,21:00:00,21
2022-12-28 03:00:00+11:00,7780,13,2574,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",3.0,-37.8025805,144.9656012,2022-12-28,03:00:00,3
2022-12-28 04:00:00+11:00,7780,5,2340,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",7.0,-37.8025805,144.9656012,2022-12-28,04:00:00,4
2022-12-24 18:00:00+11:00,7780,198,46728,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",3.0,-37.8025805,144.9656012,2022-12-24,18:00:00,18
2022-12-24 04:00:00+11:00,7780,12,7920,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",11.0,-37.8025805,144.9656012,2022-12-24,04:00:00,4
2022-12-24 16:00:00+11:00,7780,320,168320,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",8.0,-37.8025805,144.9656012,2022-12-24,16:00:00,16
2022-12-19 06:00:00+11:00,7780,38,18316,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",8.0,-37.8025805,144.9656012,2022-12-19,06:00:00,6
2022-12-14 08:00:00+11:00,7780,110,23870,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",3.0,-37.8025805,144.9656012,2022-12-14,08:00:00,8
